ISO,internet,year,elec,capital,hc,water,contract,rail,ed,land,truck
BWA,-4.36E-18,1995,-2.84E-17,-6.41E-14,-7.81E-19,8.15603184742245e-17,1.2493268086210668e-17,2.2429801263980387e-17,-2.26E-17,2.4961481565257254e-19,2.967434955416236e-17
CHE,-5.38E-05,1995,0.023977197,2.7950135777939264e-08,0.001055896,-0.083691757,0.045993895,0.018375579,-0.0153865,-0.002098749,0.036051163
LVA,-5.92E-05,1995,0.02343646,6.316404997756182e-09,0.000632843,-0.062770443,0.022346454,0.021675477,-0.044728815,-0.000592169,0.038499122
LBY,-7.48E-05,1995,0.004202105,1.9461286496425634e-09,0.000113505,0.000200962,-0.003688743,0.004985836,-0.030052789,-0.000238452,0.003829648
SAU,-0.000204522,1995,0.00634461,3.5986694862605302e-09,0.000188524,-0.001570054,-0.002274836,0.00540859,-0.033987904,-0.000458774,0.005629315
NOR,-0.000225474,1995,0.019150831,1.2760258581648606e-08,0.000573311,-0.037007771,0.012788713,0.013609353,-0.044081683,-0.000309396,0.019142281
YEM,-0.000435409,1995,-0.000254773,6.467402490125875e-11,2.6874803467582763e-05,0.001071818,-0.002956549,0.000830775,-0.033735242,-0.000231862,0.001124784
JPN,-0.000549258,1995,0.022859817,2.9315953713786146e-08,0.001208465,-0.092943362,0.066605618,0.019165593,-0.010447907,-0.001945109,0.034839093
KWT,-0.000735927,1995,0.002568951,1.979723156080661e-09,0.000169688,-0.003115645,-0.005307461,0.002648949,-0.032390975,-0.000598462,0.00302584
QAT,-0.000805048,1995,0.004414888,2.7259057993534004e-09,0.000132387,-0.003715678,-0.00067047,0.004099531,-0.03792579,-5.87E-05,0.002873398
ARE,-0.000869781,1995,0.005994752,4.328097118529165e-09,0.000229485,-0.012538775,0.005845256,0.004423679,-0.054577277,-0.000359051,0.007671928
ZAF,-0.000873219,1995,0.051958032,9.600358226529591e-09,0.000740085,-0.06951476,0.024097952,0.041919801,-0.043476565,0.001463555,0.04867475
DZA,-0.000946493,1995,0.003950261,7.87214933287497e-09,0.000420291,-0.002627896,-0.005788026,0.003942659,-0.032704363,-0.000707314,0.00458447
NGA,-0.001062331,1995,-0.000579995,-1.12E-09,-2.85E-05,0.000378341,-0.000253619,0.000601166,-0.060420947,-0.000163837,-0.000177713
LTU,-0.001095059,1995,0.02957917,9.449112280612098e-09,0.000801357,-0.0684542,0.030926025,0.024676129,-0.045023126,-0.000308315,0.046419292
LAO,-0.001264031,1995,0.017508858,-5.58E-09,0.000360039,-0.09026583,0.047149058,0.012675868,-0.049611846,-0.000640466,0.047311147
FRA,-0.001296868,1995,0.029230948,2.348064717827085e-08,0.001090707,-0.076640448,0.049131248,0.024781715,-0.039286042,-0.000201155,0.04445548
VEN,-0.001519557,1995,0.018227195,3.728488753100794e-09,0.000358856,-0.019146629,-0.003281454,0.013741891,-0.0381436,-0.001043878,0.016828705
IRN,-0.001609545,1995,0.005377618,-4.81E-10,1.0084264198116123e-06,-0.000210832,0.00096246,0.003154624,-0.034983572,-6.38E-05,0.004944603
BGR,-0.00187898,1995,0.04525296,8.083188293902381e-09,0.000768917,-0.061272794,0.022858489,0.036506902,-0.054269187,0.000854114,0.050222143
CHN,-0.001885549,1995,0.020903771,7.772619987595713e-09,0.000676359,-0.088477774,0.053359772,0.01501924,-0.042875365,-0.002011613,0.038539803
LBR,-0.002537319,1995,0.018098776,-3.21E-10,0.000270675,-0.102294954,0.038352811,0.004627656,0.009975476,-0.001694468,0.043561779
ESP,-0.002598315,1995,0.029141329,2.2830385084286965e-08,0.001059004,-0.074950529,0.053103431,0.025248728,-0.049911106,-0.000529889,0.04435477
MKD,-0.002732198,1995,0.034296264,6.644405978485284e-09,0.000683225,-0.070277374,0.035288809,0.023359045,-0.069056994,-7.12E-05,0.052572782
